titles,interviewee,url
摩奇园林专访：土壤生态功能提升新变革与绿化废弃物循环产业...,受访 史军鹏（全国城镇风景园林标委会委员 、 中国风景园林学会企业工作委员会...,http://www.chinabuildingcentre.com/show-41-747-1.html
实现环境的可持续发展——UED杂志专访邓代明,受访 邓代明 棕榈设计有限公司常务副总裁UED：在国家新型城镇化的大背景之下，生...,http://www.chinabuildingcentre.com/show-41-743-1.html
平凡坚毅中的建筑传承——UED杂志专访李子萍,采访对象：李子萍，中国建筑西北设计研究院有限公司专业总建筑师采访媒体：《城市...,http://www.chinabuildingcentre.com/show-41-742-1.html
董功专访：建筑作为一种呈现的媒介,建筑作为一种呈现的媒介,http://www.chinabuildingcentre.com/show-41-741-1.html
waa专访：言说|量体裁衣的裁缝与叙事性的建筑,受访／张迪 杨杰克 博乐文,http://www.chinabuildingcentre.com/show-41-739-1.html
WOHA专访：不断发现有新意且可持续发展的解决方案,受访／黄文森（Wong Mun Summ）、理查德·哈塞尔（Richard Hassell） WOHA 建筑事务所创始合伙人,http://www.chinabuildingcentre.com/show-41-738-1.html
【专访】伊纳克·阿巴罗斯: 实用主义的人文商业情怀,“现在已经不是看哪栋楼建的最高，而是要看里面的人如何生活在高处。”,http://www.chinabuildingcentre.com/show-41-737-1.html
【专访】丹尼尔·里伯斯金: 当艺术遇见商业,“我相信只有当建筑师动手画，才会拥有普鲁斯特经历的那种时刻——碰巧走到心灵的...,http://www.chinabuildingcentre.com/show-41-736-1.html
金陵美术馆 | 以“工业厂房”为起点，以“工业材料”为终点,金陵美术馆是20世纪60-70年代的工业厂房改建，它仿佛一位在场的他者悄然矗立在南京...,http://www.chinabuildingcentre.com/show-41-735-1.html
华黎：地 · 景中的建筑 | UED百名建筑师展,华黎：地 · 景中的建筑 | UED百名建筑师展地 · 景中的建筑Building in L...,http://www.chinabuildingcentre.com/show-41-734-1.html
从表绿到深绿——作为绿色建筑产业化引领者的深度思考与探索,走进天友集团位于天津的绿色设计中心，迎面而来的是鲤鱼水景和透光性极强的大空间...,http://www.chinabuildingcentre.com/show-41-733-1.html
【为城市而设计·艺术改变城市】王中：郑州1904公园,案例的意义并不在于项目本身，而在于我们提出“艺术激活空间”主张的落地实践。事...,http://www.chinabuildingcentre.com/show-41-732-1.html
【为城市而设计·智慧城市】巴塞罗那建筑面面观,访谈来自《城市 环境 设计》（UED）杂志第95期 2015年9月刊。主持人：里卡德·...,http://www.chinabuildingcentre.com/show-41-731-1.html
【为城市而设计·景观城市】野趣· 野去,每一个在城市里忙忙碌碌穿梭于鳞次栉比的钢筋水泥中的人都有一个身在郊野的梦，而...,http://www.chinabuildingcentre.com/show-41-730-1.html
单军：建筑应当关注地域性【从北京到伦敦展】访谈,采访   王鑫（UED）（原载于《UED》，2012（08） 从北京到伦敦——当代中国建...,http://www.chinabuildingcentre.com/show-41-729-1.html
单军：关键不在于是否在境外盖房子【境外实践专辑】访谈,采访：范路（原载于《世界建筑》，2015（01） 建在别处境外实践专辑）中国建筑师...,http://www.chinabuildingcentre.com/show-41-728-1.html
单军对话王路：之间,关于钟祥市博物馆暨明代帝王文化博物馆设计单军 王路（原载于《时代建筑》，2013...,http://www.chinabuildingcentre.com/show-41-727-1.html
内外之间,——建筑地点性表达的两种途径单 军 铁 雷(原载于《世界建筑》，2010(08)) 建...,http://www.chinabuildingcentre.com/show-41-726-1.html
春秋之间,——春秋双门单军铁雷（原载于《建筑学报》，2010(11)）            ...,http://www.chinabuildingcentre.com/show-41-725-1.html
山水之间,——钟祥市博物馆暨明代帝王文化博物馆设计单军，卢向东，王鑫，铁雷（原载于《建...,http://www.chinabuildingcentre.com/show-41-724-1.html
飞地的双重地域性,——中国商务部驻印尼商务馆舍设计单军 刘玉龙 铁雷 赵瞳（原载于《建筑学报》...,http://www.chinabuildingcentre.com/show-41-723-1.html
《地区建筑学系列研究丛书》缘起,单军（原载于《地区建筑学系列研究丛书》，2014）谈到地区建筑学系列研究的缘起，...,http://www.chinabuildingcentre.com/show-41-722-1.html
[UED]城市与未来——庞嵚－建筑纪元专访,2015年7月2日建筑纪元展于上海展览中心举办，Benoy上海区总经理庞嵚受邀参加，并进...,http://www.chinabuildingcentre.com/show-41-721-1.html
广东博物馆新馆太丑？主设计师严迅奇回应三大争议,开放不到半个月的广东博物馆，已经成为广州城内最受关注的一栋明星建筑，每天都吸...,http://www.chinabuildingcentre.com/show-41-720-1.html
上完这一课，全世界都会听你的——设计公司产品创新Workshop,引言设计企业业绩大滑坡！设计人的自我角色迷失！好日子过去了，我们很怀念它。如...,http://www.chinabuildingcentre.com/show-41-719-1.html
陈阳谈产品创新：抓住从0到1的机会（下）,引言当下设计行业的市场有所变化，设计企业面临各样的问题，企业的管理思维提升以...,http://www.chinabuildingcentre.com/show-41-718-1.html
陈阳谈产品创新：抓住从0到1的机会（上）,引言当下设计行业的市场有所变化，设计企业面临各样的问题，企业的管理思维提升以...,http://www.chinabuildingcentre.com/show-41-717-1.html
演艺建筑：使每个人都参与到艺术中来——Aedas 文化艺术团队专访,中国建筑报道网专访Aedas 文化艺术团队主题：演艺建筑——使每个人都参与到艺术中...,http://www.chinabuildingcentre.com/show-41-716-1.html
设计企业不要错过从0到1的机会——CBC学院专访ADU首席顾问陈阳老师,——CBC学院专访ADU首席顾问陈阳老师采访主题：市场现状与目前设计企业的发展之路...,http://www.chinabuildingcentre.com/show-41-715-1.html
为何古罗马建筑可以屹立上千年不倒,"古罗马建筑为何能上千年屹立不倒利用ALS光束线12 3 2,一种超导体弯曲磁铁X射线微...",http://www.chinabuildingcentre.com/show-41-714-1.html
【视频】UED深圳华汇大讲堂——蓝天组prix深圳讲座,2014年11月19日，奥地利蓝天组创始人Wolf D  Prix莅临“UED深圳华汇大讲堂”，...,http://www.chinabuildingcentre.com/show-41-713-1.html
【视频】UED深圳华汇大讲堂——理查德·瑞杰斯特：未来城市—...,由UED杂志社、深圳华汇设计有限公司、万科集团以及C&P国际生态技术研究院联合主办...,http://www.chinabuildingcentre.com/show-41-712-1.html
【视频】UED深圳华汇大讲堂——哈尼·拉什德：形式追随未来,美国知名建筑师哈尼·拉什德，受由《城市·环境·设计》（UED）杂志社、深圳华汇设...,http://www.chinabuildingcentre.com/show-41-711-1.html
【视频】UED大师讲堂——承孝相：地文,2014年6月6日，韩国知名建筑师承孝相，受由《城市·环境·设计》（UED）杂志社、深...,http://www.chinabuildingcentre.com/show-41-710-1.html
【视频】UED大师讲堂——布兰登·麦克法兰“场所与身份”,2014年4月25日晚，UED大师讲堂-布兰登·麦克法兰“场所与身份”讲座在深圳华夏艺术...,http://www.chinabuildingcentre.com/show-41-709-1.html
【视频】UED大师讲堂——汤姆·梅恩(Thom Mayne),汤姆·梅恩以“公共精神(Public-ness)”为主题，结合十多个案例，分享了自己对于城...,http://www.chinabuildingcentre.com/show-41-708-1.html
